/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
ㄷ/ㄾ,닱,댍,댩,덅,덡,덽,뎙,뎵,돑,둁,둝,듍,듩,딡,돭,됥,됉,둹,뒱,뒕,딅
ㄷ/ㄿ,닲,댎,댪,덆,덢,덾,뎚,뎶,돒,둁,둞,듎,듪,딢,돮,됦,됊,둺,뒲,뒖,딆
ㄷ/ㅀ,닳,댏,댫,덇,덣,덿,뎛,뎷,돓,둃,둟,듏,듫,딣,돯,됧,됋,둻,뒳,뒗,딇
ㄷ/ㅄ,닶,댒,댮,덊,덦,뎂,뎞,뎺,돖,둆,둢,듒,듮,딦,돲,됪,됎,둾,뒶,뒚,딊
ㄷ/ㅆ,닸,댔,댰,덌,덨,뎄,뎠,뎼,돘,둈,둤,듔,듰,딨,돴,됬,됐,뒀,뒸,뒜,딌
ㄸ/:,따,때,땨,떄,떠,떼,뗘,뗴,또,뚀,뚜,뜌,뜨,띠,똬,뙤,뙈,뚸,뛰,뛔,띄
ㄸ/ㄱ,딱,땍,땩,떅,떡,떽,뗙,뗵,똑,뚁,뚝,뜍,뜩,띡,똭,뙥,뙉,뚹,뛱,뛕,띅
ㄸ/ㄴ,딴,땐,땬,떈,떤,뗀,뗜,뗸,똔,뚄,뚠,뜐,뜬,띤,똰,뙨,뙌,뚼,뛴,뛘,띈
ㄸ/ㄷ,딷,땓,땯,떋,떧,뗃,뗟,뗻,똗,뚇,뚣,뜓,뜯,띧,똳,뙫,뙏,뚿,뛷,뛛,띋
ㄸ/ㄹ,딸,땔,땰,떌,떨,뗄,뗠,뗼,똘,뚈,뚤,뜔,뜰,띨,똴,뙬,뙐,뛀,뛸,뛜,띌
ㄸ/ㅁ,땀,땜,땸,떔,떰,뗌,뗨,똄,똠,뚐,뚬,뜜,뜸,띰,똼,뙴,뙘,뛈,뜀,뛤,띔
ㄸ/ㅂ,땁,땝,땹,떕,떱,뗍,뗩,똅,똡,뚑,뚭,뜝,뜹,띱,똽,뙵,뙙,뛉,뜁,뛥,띕
ㄸ/ㅅ,땃,땟,땻,떗,떳,뗏,뗫,똇,똣,뚓,뚯,뜟,뜻,띳,똿,뙷,뙛,뛋,뜃,뛧,띗
ㄸ/ㅇ,땅,땡,땽,떙,떵,뗑,뗭,똉,똥,뚕,뚱,뜡,뜽,띵,뙁,뙹,뙝,뛍,뜅,뛩,띙
ㄸ/ㅈ,땆,땢,땾,떚,떶,뗒,뗮,똊,똦,뚖,뚲,뜢,뜾,띶,뙂,뙺,뙞,뛎,뜆,뛪,띚
ㄸ/ㅊ,땇,떛,땿,떛,떷,뗓,뗯,똋,똧,뚗,뚳,뜣,뜿,띷,뙃,뙻,뙟,뛏,뜇,뛫,띛
ㄸ/ㅋ,땈,땤,떀,떜,떸,뗔,뗰,똌,똨,뚘,뚴,뜤,띀,띸,뙄,뙼,뙠,뛐,뜈,뛬,띜
